"Rinky Hijikata","Jan Lennard Struff",RH,RH,0,0,0,0,0,0,2024-01-15,Australian_Open,1,1,99,4,1,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240115-M-Australian_Open-R128-Rinky_Hijikata-Jan_Lennard_Struff.html
"Rinky Hijikata","Jan Lennard Struff",RH,RH,0,0,0,0,0,0,2024-01-15,Australian_Open,2,1,99,5,1,99,2,99,2,7,7,1,1,99,4,1,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240115-M-Australian_Open-R128-Rinky_Hijikata-Jan_Lennard_Struff.html
"Jan Lennard Struff","Rinky Hijikata",RH,RH,0,0,0,0,0,0,2024-01-15,Australian_Open,3,1,22,9,3,2,2,99,2,7,7,2,1,99,5,1,99,2,99,2,7,7,1,1,99,4,1,99,2,99,2,2,1,/home/sports/hdd2/huangfy/charting/20240115-M-Australian_Open-R128-Rinky_Hijikata-Jan_Lennard_Struff.html
"Rinky Hijikata","Jan Lennard Struff",RH,RH,0,0,0,0,0,0,2024-01-15,Australian_Open,4,3,22,2,2,99,2,99,2,7,7,3,1,22,9,3,2,2,99,2,7,7,2,1,99,5,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240115-M-Australian_Open-R128-Rinky_Hijikata-Jan_Lennard_Struff.html
"Jan Lennard Struff","Rinky Hijikata",RH,RH,0,0,0,0,0,0,2024-01-15,Australian_Open,4,2,22,7,3,99,2,99,2,4,2,4,3,22,2,2,99,2,99,2,7,7,3,1,22,9,3,2,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240115-M-Australian_Open-R128-Rinky_Hijikata-Jan_Lennard_Struff.html
"Rinky Hijikata","Jan Lennard Struff",RH,RH,1,0,0,0,0,0,2024-01-15,Australian_Open,1,3,99,5,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240115-M-Australian_Open-R128-Rinky_Hijikata-Jan_Lennard_Struff.html
"Jan Lennard Struff","Rinky Hijikata",RH,RH,0,1,0,0,0,0,2024-01-15,Australian_Open,3,3,1,2,2,99,2,99,2,3,99,1,3,99,5,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240115-M-Australian_Open-R128-Rinky_Hijikata-Jan_Lennard_Struff.html
"Rinky Hijikata","Jan Lennard Struff",RH,RH,2,0,0,0,0,0,2024-01-15,Australian_Open,1,1,99,6,2,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240115-M-Australian_Open-R128-Rinky_Hijikata-Jan_Lennard_Struff.html
"Rinky Hijikata","Jan Lennard Struff",RH,RH,2,0,0,0,0,0,2024-01-15,Australian_Open,2,1,99,4,1,99,2,99,2,7,7,1,1,99,6,2,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240115-M-Australian_Open-R128-Rinky_Hijikata-Jan_Lennard_Struff.html
"Jan Lennard Struff","Rinky Hijikata",RH,RH,0,2,0,0,0,0,2024-01-15,Australian_Open,3,1,1,2,2,2,2,99,2,7,7,2,1,99,4,1,99,2,99,2,7,7,1,1,99,6,2,99,2,99,2,2,1,/home/sports/hdd2/huangfy/charting/20240115-M-Australian_Open-R128-Rinky_Hijikata-Jan_Lennard_Struff.html
