"Arantxa Rus","Anhelina Kalinina",LH,RH,0,0,0,0,0,0,2024-01-15,Australian_Open,1,1,99,5,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240115-W-Australian_Open-R128-Arantxa_Rus-Anhelina_Kalinina.html
"Anhelina Kalinina","Arantxa Rus",RH,LH,0,0,0,0,0,0,2024-01-15,Australian_Open,3,1,1,2,2,3,2,99,2,7,7,1,1,99,5,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240115-W-Australian_Open-R128-Arantxa_Rus-Anhelina_Kalinina.html
"Arantxa Rus","Anhelina Kalinina",LH,RH,0,0,0,0,0,0,2024-01-15,Australian_Open,4,2,1,2,2,99,2,99,2,7,7,3,1,1,2,2,3,2,99,2,7,7,1,1,99,5,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240115-W-Australian_Open-R128-Arantxa_Rus-Anhelina_Kalinina.html
"Anhelina Kalinina","Arantxa Rus",RH,LH,0,0,0,0,0,0,2024-01-15,Australian_Open,4,2,1,7,1,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,3,1,1,2,2,3,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240115-W-Australian_Open-R128-Arantxa_Rus-Anhelina_Kalinina.html
"Arantxa Rus","Anhelina Kalinina",LH,RH,0,0,0,0,0,0,2024-01-15,Australian_Open,4,1,22,2,2,99,2,99,2,7,7,4,2,1,7,1,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240115-W-Australian_Open-R128-Arantxa_Rus-Anhelina_Kalinina.html
"Anhelina Kalinina","Arantxa Rus",RH,LH,0,0,0,0,0,0,2024-01-15,Australian_Open,4,2,22,7,3,99,2,99,2,4,3,4,1,22,2,2,99,2,99,2,7,7,4,2,1,7,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240115-W-Australian_Open-R128-Arantxa_Rus-Anhelina_Kalinina.html
"Arantxa Rus","Anhelina Kalinina",LH,RH,1,0,0,0,0,0,2024-01-15,Australian_Open,1,3,99,4,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240115-W-Australian_Open-R128-Arantxa_Rus-Anhelina_Kalinina.html
"Anhelina Kalinina","Arantxa Rus",RH,LH,0,1,0,0,0,0,2024-01-15,Australian_Open,3,3,22,7,3,1,2,99,2,7,7,1,3,99,4,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240115-W-Australian_Open-R128-Arantxa_Rus-Anhelina_Kalinina.html
"Arantxa Rus","Anhelina Kalinina",LH,RH,1,0,0,0,0,0,2024-01-15,Australian_Open,4,3,1,8,1,99,2,99,2,7,7,3,3,22,7,3,1,2,99,2,7,7,1,3,99,4,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240115-W-Australian_Open-R128-Arantxa_Rus-Anhelina_Kalinina.html
"Anhelina Kalinina","Arantxa Rus",RH,LH,0,1,0,0,0,0,2024-01-15,Australian_Open,4,1,1,7,1,99,2,99,2,7,7,4,3,1,8,1,99,2,99,2,7,7,3,3,22,7,3,1,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240115-W-Australian_Open-R128-Arantxa_Rus-Anhelina_Kalinina.html
"Arantxa Rus","Anhelina Kalinina",LH,RH,1,0,0,0,0,0,2024-01-15,Australian_Open,4,1,22,7,1,99,2,99,2,7,7,4,1,1,7,1,99,2,99,2,7,7,4,3,1,8,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240115-W-Australian_Open-R128-Arantxa_Rus-Anhelina_Kalinina.html
"Anhelina Kalinina","Arantxa Rus",RH,LH,0,1,0,0,0,0,2024-01-15,Australian_Open,4,1,1,8,3,99,2,99,2,4,1,4,1,22,7,1,99,2,99,2,7,7,4,1,1,7,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240115-W-Australian_Open-R128-Arantxa_Rus-Anhelina_Kalinina.html
"Arantxa Rus","Anhelina Kalinina",LH,RH,2,0,0,0,0,0,2024-01-15,Australian_Open,1,1,99,5,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240115-W-Australian_Open-R128-Arantxa_Rus-Anhelina_Kalinina.html
