"Dayana Yastremska","Victoria Azarenka",RH,RH,0,0,0,0,0,0,2024-01-21,Australian_Open,1,1,99,4,1,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240121-W-Australian_Open-R16-Dayana_Yastremska-Victoria_Azarenka.html
"Dayana Yastremska","Victoria Azarenka",RH,RH,0,0,0,0,0,0,2024-01-21,Australian_Open,2,1,99,5,1,99,2,99,2,2,3,1,1,99,4,1,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240121-W-Australian_Open-R16-Dayana_Yastremska-Victoria_Azarenka.html
"Dayana Yastremska","Victoria Azarenka",RH,RH,0,1,0,0,0,0,2024-01-21,Australian_Open,1,3,99,5,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240121-W-Australian_Open-R16-Dayana_Yastremska-Victoria_Azarenka.html
"Victoria Azarenka","Dayana Yastremska",RH,RH,1,0,0,0,0,0,2024-01-21,Australian_Open,3,3,1,10,3,2,2,99,2,7,7,1,3,99,5,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240121-W-Australian_Open-R16-Dayana_Yastremska-Victoria_Azarenka.html
"Dayana Yastremska","Victoria Azarenka",RH,RH,0,1,0,0,0,0,2024-01-21,Australian_Open,4,3,22,8,1,99,2,99,2,7,7,3,3,1,10,3,2,2,99,2,7,7,1,3,99,5,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240121-W-Australian_Open-R16-Dayana_Yastremska-Victoria_Azarenka.html
"Victoria Azarenka","Dayana Yastremska",RH,RH,1,0,0,0,0,0,2024-01-21,Australian_Open,4,1,3,99,99,99,2,99,2,3,99,4,3,22,8,1,99,2,99,2,7,7,3,3,1,10,3,2,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240121-W-Australian_Open-R16-Dayana_Yastremska-Victoria_Azarenka.html
"Dayana Yastremska","Victoria Azarenka",RH,RH,1,1,0,0,0,0,2024-01-21,Australian_Open,1,1,99,5,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240121-W-Australian_Open-R16-Dayana_Yastremska-Victoria_Azarenka.html
"Victoria Azarenka","Dayana Yastremska",RH,RH,1,1,0,0,0,0,2024-01-21,Australian_Open,3,1,22,10,1,2,2,99,2,7,7,1,1,99,5,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240121-W-Australian_Open-R16-Dayana_Yastremska-Victoria_Azarenka.html
"Dayana Yastremska","Victoria Azarenka",RH,RH,1,1,0,0,0,0,2024-01-21,Australian_Open,4,1,1,8,3,99,2,99,2,7,7,3,1,22,10,1,2,2,99,2,7,7,1,1,99,5,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240121-W-Australian_Open-R16-Dayana_Yastremska-Victoria_Azarenka.html
"Victoria Azarenka","Dayana Yastremska",RH,RH,1,1,0,0,0,0,2024-01-21,Australian_Open,4,3,22,7,3,99,2,99,2,7,7,4,1,1,8,3,99,2,99,2,7,7,3,1,22,10,1,2,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240121-W-Australian_Open-R16-Dayana_Yastremska-Victoria_Azarenka.html
"Dayana Yastremska","Victoria Azarenka",RH,RH,1,1,0,0,0,0,2024-01-21,Australian_Open,4,3,22,8,1,99,2,99,2,4,3,4,3,22,7,3,99,2,99,2,7,7,4,1,1,8,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240121-W-Australian_Open-R16-Dayana_Yastremska-Victoria_Azarenka.html
