"Daniil Medvedev","Nuno Borges",RH,RH,0,0,0,0,0,0,2024-01-22,Australian_Open,1,1,99,4,1,99,2,99,2,1,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240122-M-Australian_Open-R16-Daniil_Medvedev-Nuno_Borges.html
"Daniil Medvedev","Nuno Borges",RH,RH,1,0,0,0,0,0,2024-01-22,Australian_Open,1,3,99,6,2,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240122-M-Australian_Open-R16-Daniil_Medvedev-Nuno_Borges.html
"Daniil Medvedev","Nuno Borges",RH,RH,1,0,0,0,0,0,2024-01-22,Australian_Open,2,3,99,5,3,99,2,99,2,7,7,1,3,99,6,2,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240122-M-Australian_Open-R16-Daniil_Medvedev-Nuno_Borges.html
"Nuno Borges","Daniil Medvedev",RH,RH,0,1,0,0,0,0,2024-01-22,Australian_Open,3,3,1,10,3,3,2,99,2,7,7,2,3,99,5,3,99,2,99,2,7,7,1,3,99,6,2,99,2,99,2,2,1,/home/sports/hdd2/huangfy/charting/20240122-M-Australian_Open-R16-Daniil_Medvedev-Nuno_Borges.html
"Daniil Medvedev","Nuno Borges",RH,RH,1,0,0,0,0,0,2024-01-22,Australian_Open,4,3,22,7,3,99,2,99,2,7,7,3,3,1,10,3,3,2,99,2,7,7,2,3,99,5,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240122-M-Australian_Open-R16-Daniil_Medvedev-Nuno_Borges.html
"Nuno Borges","Daniil Medvedev",RH,RH,0,1,0,0,0,0,2024-01-22,Australian_Open,4,3,22,2,2,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,3,3,1,10,3,3,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240122-M-Australian_Open-R16-Daniil_Medvedev-Nuno_Borges.html
"Daniil Medvedev","Nuno Borges",RH,RH,1,0,0,0,0,0,2024-01-22,Australian_Open,4,2,1,7,1,99,2,99,2,4,2,4,3,22,2,2,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240122-M-Australian_Open-R16-Daniil_Medvedev-Nuno_Borges.html
"Daniil Medvedev","Nuno Borges",RH,RH,1,1,0,0,0,0,2024-01-22,Australian_Open,1,1,99,4,1,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240122-M-Australian_Open-R16-Daniil_Medvedev-Nuno_Borges.html
"Daniil Medvedev","Nuno Borges",RH,RH,1,1,0,0,0,0,2024-01-22,Australian_Open,2,1,99,4,1,99,2,99,2,7,7,1,1,99,4,1,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240122-M-Australian_Open-R16-Daniil_Medvedev-Nuno_Borges.html
"Nuno Borges","Daniil Medvedev",RH,RH,1,1,0,0,0,0,2024-01-22,Australian_Open,3,1,1,2,2,3,2,99,2,7,7,2,1,99,4,1,99,2,99,2,7,7,1,1,99,4,1,99,2,99,2,2,1,/home/sports/hdd2/huangfy/charting/20240122-M-Australian_Open-R16-Daniil_Medvedev-Nuno_Borges.html
"Daniil Medvedev","Nuno Borges",RH,RH,1,1,0,0,0,0,2024-01-22,Australian_Open,4,2,22,2,2,99,2,99,2,7,7,3,1,1,2,2,3,2,99,2,7,7,2,1,99,4,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240122-M-Australian_Open-R16-Daniil_Medvedev-Nuno_Borges.html
"Nuno Borges","Daniil Medvedev",RH,RH,1,1,0,0,0,0,2024-01-22,Australian_Open,4,2,9,10,3,99,2,99,2,7,7,4,2,22,2,2,99,2,99,2,7,7,3,1,1,2,2,3,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240122-M-Australian_Open-R16-Daniil_Medvedev-Nuno_Borges.html
"Daniil Medvedev","Nuno Borges",RH,RH,1,1,0,0,0,0,2024-01-22,Australian_Open,4,3,24,99,99,99,2,99,2,3,99,4,2,9,10,3,99,2,99,2,7,7,4,2,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240122-M-Australian_Open-R16-Daniil_Medvedev-Nuno_Borges.html
"Daniil Medvedev","Nuno Borges",RH,RH,1,2,0,0,0,0,2024-01-22,Australian_Open,1,3,99,4,3,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240122-M-Australian_Open-R16-Daniil_Medvedev-Nuno_Borges.html
"Daniil Medvedev","Nuno Borges",RH,RH,1,2,0,0,0,0,2024-01-22,Australian_Open,2,3,99,4,3,99,2,99,2,7,7,1,3,99,4,3,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240122-M-Australian_Open-R16-Daniil_Medvedev-Nuno_Borges.html
