"Tallon Griekspoor","Marc Andrea Huesler",RH,LH,0,0,0,0,0,0,2024-02-02,Davis_Cup_Qualifiers,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Tallon_Griekspoor-Marc_Andrea_Huesler.html
"Marc Andrea Huesler","Tallon Griekspoor",LH,RH,0,0,0,0,0,0,2024-02-02,Davis_Cup_Qualifiers,3,1,22,2,2,2,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Tallon_Griekspoor-Marc_Andrea_Huesler.html
"Tallon Griekspoor","Marc Andrea Huesler",RH,LH,0,0,0,0,0,0,2024-02-02,Davis_Cup_Qualifiers,4,2,1,10,3,99,2,99,1,5,7,3,1,22,2,2,2,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Tallon_Griekspoor-Marc_Andrea_Huesler.html
"Tallon Griekspoor","Marc Andrea Huesler",RH,LH,1,0,0,0,0,0,2024-02-02,Davis_Cup_Qualifiers,1,3,99,4,3,99,2,99,2,1,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Tallon_Griekspoor-Marc_Andrea_Huesler.html
"Tallon Griekspoor","Marc Andrea Huesler",RH,LH,2,0,0,0,0,0,2024-02-02,Davis_Cup_Qualifiers,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Tallon_Griekspoor-Marc_Andrea_Huesler.html
"Marc Andrea Huesler","Tallon Griekspoor",LH,RH,0,2,0,0,0,0,2024-02-02,Davis_Cup_Qualifiers,3,1,22,2,2,2,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Tallon_Griekspoor-Marc_Andrea_Huesler.html
"Tallon Griekspoor","Marc Andrea Huesler",RH,LH,2,0,0,0,0,0,2024-02-02,Davis_Cup_Qualifiers,4,2,1,7,1,99,2,99,2,4,1,3,1,22,2,2,2,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Tallon_Griekspoor-Marc_Andrea_Huesler.html
"Tallon Griekspoor","Marc Andrea Huesler",RH,LH,2,1,0,0,0,0,2024-02-02,Davis_Cup_Qualifiers,1,3,99,4,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Tallon_Griekspoor-Marc_Andrea_Huesler.html
"Marc Andrea Huesler","Tallon Griekspoor",LH,RH,1,2,0,0,0,0,2024-02-02,Davis_Cup_Qualifiers,3,3,1,2,2,3,2,99,2,7,7,1,3,99,4,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Tallon_Griekspoor-Marc_Andrea_Huesler.html
"Tallon Griekspoor","Marc Andrea Huesler",RH,LH,2,1,0,0,0,0,2024-02-02,Davis_Cup_Qualifiers,4,2,1,7,1,99,2,99,2,7,7,3,3,1,2,2,3,2,99,2,7,7,1,3,99,4,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240202-M-Davis_Cup_Qualifiers-RR-Tallon_Griekspoor-Marc_Andrea_Huesler.html
