"Anastasia Pavlyuchenkova","Elena Rybakina",RH,RH,0,0,0,0,0,0,2024-02-16,Doha,1,1,99,5,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240216-W-Doha-SF-Anastasia_Pavlyuchenkova-Elena_Rybakina.html,1st serve to body
"Elena Rybakina","Anastasia Pavlyuchenkova",RH,RH,0,0,0,0,0,0,2024-02-16,Doha,3,1,1,8,3,2,2,99,2,7,7,1,1,99,5,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240216-W-Doha-SF-Anastasia_Pavlyuchenkova-Elena_Rybakina.html, forehand return down the line (deep)
"Anastasia Pavlyuchenkova","Elena Rybakina",RH,RH,0,0,0,0,0,0,2024-02-16,Doha,4,3,22,8,1,99,2,99,2,5,7,3,1,1,8,3,2,2,99,2,7,7,1,1,99,5,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240216-W-Doha-SF-Anastasia_Pavlyuchenkova-Elena_Rybakina.html, backhand down the line,  winner
"Anastasia Pavlyuchenkova","Elena Rybakina",RH,RH,1,0,0,0,0,0,2024-02-16,Doha,1,3,99,5,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240216-W-Doha-SF-Anastasia_Pavlyuchenkova-Elena_Rybakina.html,1st serve to body
"Elena Rybakina","Anastasia Pavlyuchenkova",RH,RH,0,1,0,0,0,0,2024-02-16,Doha,3,3,1,10,3,2,2,99,2,7,7,1,3,99,5,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240216-W-Doha-SF-Anastasia_Pavlyuchenkova-Elena_Rybakina.html, forehand return inside-out (deep)
"Anastasia Pavlyuchenkova","Elena Rybakina",RH,RH,1,0,0,0,0,0,2024-02-16,Doha,4,3,22,2,2,99,2,99,2,7,7,3,3,1,10,3,2,2,99,2,7,7,1,3,99,5,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240216-W-Doha-SF-Anastasia_Pavlyuchenkova-Elena_Rybakina.html, backhand down the middle
"Elena Rybakina","Anastasia Pavlyuchenkova",RH,RH,0,1,0,0,0,0,2024-02-16,Doha,4,2,22,2,2,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,3,3,1,10,3,2,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240216-W-Doha-SF-Anastasia_Pavlyuchenkova-Elena_Rybakina.html, backhand down the middle
"Anastasia Pavlyuchenkova","Elena Rybakina",RH,RH,1,0,0,0,0,0,2024-02-16,Doha,4,2,1,2,2,99,2,99,2,4,1,4,2,22,2,2,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240216-W-Doha-SF-Anastasia_Pavlyuchenkova-Elena_Rybakina.html, forehand down the middle (net),  unforced error
"Anastasia Pavlyuchenkova","Elena Rybakina",RH,RH,1,1,0,0,0,0,2024-02-16,Doha,1,1,99,5,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240216-W-Doha-SF-Anastasia_Pavlyuchenkova-Elena_Rybakina.html,1st serve to body
"Elena Rybakina","Anastasia Pavlyuchenkova",RH,RH,1,1,0,0,0,0,2024-02-16,Doha,3,1,22,10,1,99,2,99,2,3,99,1,1,99,5,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240216-W-Doha-SF-Anastasia_Pavlyuchenkova-Elena_Rybakina.html, backhand return inside-out,  forced error
"Anastasia Pavlyuchenkova","Elena Rybakina",RH,RH,2,1,0,0,0,0,2024-02-16,Doha,1,3,99,5,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240216-W-Doha-SF-Anastasia_Pavlyuchenkova-Elena_Rybakina.html,1st serve to body
"Elena Rybakina","Anastasia Pavlyuchenkova",RH,RH,1,2,0,0,0,0,2024-02-16,Doha,3,3,1,2,2,2,2,99,2,7,7,1,3,99,5,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240216-W-Doha-SF-Anastasia_Pavlyuchenkova-Elena_Rybakina.html, forehand return down the middle (deep)
"Anastasia Pavlyuchenkova","Elena Rybakina",RH,RH,2,1,0,0,0,0,2024-02-16,Doha,4,2,1,7,1,99,2,99,2,7,7,3,3,1,2,2,2,2,99,2,7,7,1,3,99,5,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240216-W-Doha-SF-Anastasia_Pavlyuchenkova-Elena_Rybakina.html, forehand crosscourt
"Elena Rybakina","Anastasia Pavlyuchenkova",RH,RH,1,2,0,0,0,0,2024-02-16,Doha,4,1,3,8,3,99,2,99,2,7,7,4,2,1,7,1,99,2,99,2,7,7,3,3,1,2,2,2,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240216-W-Doha-SF-Anastasia_Pavlyuchenkova-Elena_Rybakina.html, forehand chip/slice down the line
"Anastasia Pavlyuchenkova","Elena Rybakina",RH,RH,2,1,0,0,0,0,2024-02-16,Doha,4,3,22,7,3,99,2,99,2,7,7,4,1,3,8,3,99,2,99,2,7,7,4,2,1,7,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240216-W-Doha-SF-Anastasia_Pavlyuchenkova-Elena_Rybakina.html, backhand crosscourt
"Elena Rybakina","Anastasia Pavlyuchenkova",RH,RH,1,2,0,0,0,0,2024-02-16,Doha,4,3,22,7,3,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,4,1,3,8,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240216-W-Doha-SF-Anastasia_Pavlyuchenkova-Elena_Rybakina.html, backhand crosscourt
"Anastasia Pavlyuchenkova","Elena Rybakina",RH,RH,2,1,0,0,0,0,2024-02-16,Doha,4,3,22,2,2,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240216-W-Doha-SF-Anastasia_Pavlyuchenkova-Elena_Rybakina.html, backhand down the middle
"Elena Rybakina","Anastasia Pavlyuchenkova",RH,RH,1,2,0,0,0,0,2024-02-16,Doha,4,2,22,2,2,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240216-W-Doha-SF-Anastasia_Pavlyuchenkova-Elena_Rybakina.html, backhand down the middle
"Anastasia Pavlyuchenkova","Elena Rybakina",RH,RH,2,1,0,0,0,0,2024-02-16,Doha,4,2,22,7,3,99,2,99,2,7,7,4,2,22,2,2,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240216-W-Doha-SF-Anastasia_Pavlyuchenkova-Elena_Rybakina.html, backhand crosscourt
