"Iga Swiatek","Elena Rybakina",RH,RH,0,0,0,0,0,0,2024-02-17,Doha,1,1,99,5,1,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html,1st serve to body,  fault (long)
"Iga Swiatek","Elena Rybakina",RH,RH,0,0,0,0,0,0,2024-02-17,Doha,2,1,99,5,1,99,2,99,2,7,7,1,1,99,5,1,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html, 2nd serve to body
"Elena Rybakina","Iga Swiatek",RH,RH,0,0,0,0,0,0,2024-02-17,Doha,3,1,22,2,2,3,2,99,2,7,7,2,1,99,5,1,99,2,99,2,7,7,1,1,99,5,1,99,2,99,2,2,3,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html, backhand return down the middle (very deep)
"Iga Swiatek","Elena Rybakina",RH,RH,0,0,0,0,0,0,2024-02-17,Doha,4,2,22,2,2,99,2,99,2,7,7,3,1,22,2,2,3,2,99,2,7,7,2,1,99,5,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html, backhand down the middle
"Elena Rybakina","Iga Swiatek",RH,RH,0,0,0,0,0,0,2024-02-17,Doha,4,2,22,2,2,99,2,99,2,7,7,4,2,22,2,2,99,2,99,2,7,7,3,1,22,2,2,3,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html, backhand down the middle
"Iga Swiatek","Elena Rybakina",RH,RH,0,0,0,0,0,0,2024-02-17,Doha,4,2,22,2,2,99,2,99,2,7,7,4,2,22,2,2,99,2,99,2,7,7,4,2,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html, backhand down the middle
"Elena Rybakina","Iga Swiatek",RH,RH,0,0,0,0,0,0,2024-02-17,Doha,4,2,1,7,1,99,2,99,2,7,7,4,2,22,2,2,99,2,99,2,7,7,4,2,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html, forehand crosscourt
"Iga Swiatek","Elena Rybakina",RH,RH,0,0,0,0,0,0,2024-02-17,Doha,4,1,1,7,1,99,2,99,2,4,3,4,2,1,7,1,99,2,99,2,7,7,4,2,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html, forehand crosscourt (long),  unforced error
"Iga Swiatek","Elena Rybakina",RH,RH,0,1,0,0,0,0,2024-02-17,Doha,1,3,99,4,3,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html,1st serve wide,  fault (long)
"Iga Swiatek","Elena Rybakina",RH,RH,0,1,0,0,0,0,2024-02-17,Doha,2,3,99,5,3,99,2,99,2,7,7,1,3,99,4,3,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html, 2nd serve to body
"Elena Rybakina","Iga Swiatek",RH,RH,1,0,0,0,0,0,2024-02-17,Doha,3,3,22,7,3,1,2,99,2,7,7,2,3,99,5,3,99,2,99,2,7,7,1,3,99,4,3,99,2,99,2,2,3,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html, backhand return crosscourt (shallow)
"Iga Swiatek","Elena Rybakina",RH,RH,0,1,0,0,0,0,2024-02-17,Doha,4,3,22,2,2,99,2,99,2,7,7,3,3,22,7,3,1,2,99,2,7,7,2,3,99,5,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html, backhand down the middle
"Elena Rybakina","Iga Swiatek",RH,RH,1,0,0,0,0,0,2024-02-17,Doha,4,2,1,2,2,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,3,3,22,7,3,1,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html, forehand down the middle
"Iga Swiatek","Elena Rybakina",RH,RH,0,1,0,0,0,0,2024-02-17,Doha,4,2,22,10,1,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html, backhand inside-out
"Elena Rybakina","Iga Swiatek",RH,RH,1,0,0,0,0,0,2024-02-17,Doha,4,1,3,2,2,99,2,99,2,7,7,4,2,22,10,1,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html, forehand chip/slice down the middle
"Iga Swiatek","Elena Rybakina",RH,RH,0,1,0,0,0,0,2024-02-17,Doha,4,2,22,7,3,99,2,99,2,7,7,4,1,3,2,2,99,2,99,2,7,7,4,2,22,10,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html, backhand crosscourt
"Elena Rybakina","Iga Swiatek",RH,RH,1,0,0,0,0,0,2024-02-17,Doha,4,3,22,7,3,99,2,99,2,7,7,4,2,22,7,3,99,2,99,2,7,7,4,1,3,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html, backhand crosscourt
"Iga Swiatek","Elena Rybakina",RH,RH,0,1,0,0,0,0,2024-02-17,Doha,4,3,22,2,2,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,4,2,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html, backhand down the middle
"Elena Rybakina","Iga Swiatek",RH,RH,1,0,0,0,0,0,2024-02-17,Doha,4,2,22,2,2,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html, backhand down the middle
"Iga Swiatek","Elena Rybakina",RH,RH,0,1,0,0,0,0,2024-02-17,Doha,4,2,22,2,2,99,2,99,2,4,3,4,2,22,2,2,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html, backhand down the middle (long),  unforced error
"Iga Swiatek","Elena Rybakina",RH,RH,0,2,0,0,0,0,2024-02-17,Doha,1,1,99,5,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html,1st serve to body
"Elena Rybakina","Iga Swiatek",RH,RH,2,0,0,0,0,0,2024-02-17,Doha,3,1,1,2,2,1,2,99,2,7,7,1,1,99,5,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html, forehand return down the middle (shallow)
"Iga Swiatek","Elena Rybakina",RH,RH,0,2,0,0,0,0,2024-02-17,Doha,4,2,1,7,1,99,2,99,1,7,7,3,1,1,2,2,1,2,99,2,7,7,1,1,99,5,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html, forehand approach shot crosscourt
"Elena Rybakina","Iga Swiatek",RH,RH,2,0,0,0,0,0,2024-02-17,Doha,4,1,1,2,2,99,2,99,2,7,7,4,2,1,7,1,99,2,99,1,7,7,3,1,1,2,2,1,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240217-W-Doha-F-Iga_Swiatek-Elena_Rybakina.html, forehand down the middle
