"Facundo Diaz Acosta","Nicolas Jarry",LH,RH,0,0,0,0,0,0,2024-02-18,Buenos_Aires,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240218-M-Buenos_Aires-F-Facundo_Diaz_Acosta-Nicolas_Jarry.html,1st serve wide
"Nicolas Jarry","Facundo Diaz Acosta",RH,LH,0,0,0,0,0,0,2024-02-18,Buenos_Aires,3,1,1,2,2,1,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240218-M-Buenos_Aires-F-Facundo_Diaz_Acosta-Nicolas_Jarry.html, forehand return down the middle (shallow)
"Facundo Diaz Acosta","Nicolas Jarry",LH,RH,0,0,0,0,0,0,2024-02-18,Buenos_Aires,4,2,1,2,2,99,2,99,2,7,7,3,1,1,2,2,1,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240218-M-Buenos_Aires-F-Facundo_Diaz_Acosta-Nicolas_Jarry.html, forehand down the middle
"Nicolas Jarry","Facundo Diaz Acosta",RH,LH,0,0,0,0,0,0,2024-02-18,Buenos_Aires,4,2,22,7,3,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,3,1,1,2,2,1,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240218-M-Buenos_Aires-F-Facundo_Diaz_Acosta-Nicolas_Jarry.html, backhand crosscourt
"Facundo Diaz Acosta","Nicolas Jarry",LH,RH,0,0,0,0,0,0,2024-02-18,Buenos_Aires,4,3,1,7,3,99,2,99,2,7,7,4,2,22,7,3,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240218-M-Buenos_Aires-F-Facundo_Diaz_Acosta-Nicolas_Jarry.html, forehand crosscourt
"Nicolas Jarry","Facundo Diaz Acosta",RH,LH,0,0,0,0,0,0,2024-02-18,Buenos_Aires,4,3,22,7,3,99,2,99,2,7,7,4,3,1,7,3,99,2,99,2,7,7,4,2,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240218-M-Buenos_Aires-F-Facundo_Diaz_Acosta-Nicolas_Jarry.html, backhand crosscourt
"Facundo Diaz Acosta","Nicolas Jarry",LH,RH,0,0,0,0,0,0,2024-02-18,Buenos_Aires,4,3,3,2,2,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,4,3,1,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240218-M-Buenos_Aires-F-Facundo_Diaz_Acosta-Nicolas_Jarry.html, forehand chip/slice down the middle
"Nicolas Jarry","Facundo Diaz Acosta",RH,LH,0,0,0,0,0,0,2024-02-18,Buenos_Aires,4,2,1,10,3,99,2,99,1,7,7,4,3,3,2,2,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240218-M-Buenos_Aires-F-Facundo_Diaz_Acosta-Nicolas_Jarry.html, forehand approach shot inside-out
"Facundo Diaz Acosta","Nicolas Jarry",LH,RH,0,0,0,0,0,0,2024-02-18,Buenos_Aires,4,3,3,2,2,99,2,99,2,7,7,4,2,1,10,3,99,2,99,1,7,7,4,3,3,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240218-M-Buenos_Aires-F-Facundo_Diaz_Acosta-Nicolas_Jarry.html, forehand chip/slice down the middle
"Nicolas Jarry","Facundo Diaz Acosta",RH,LH,0,0,0,0,0,0,2024-02-18,Buenos_Aires,4,2,7,7,1,99,2,99,2,5,7,4,3,3,2,2,99,2,99,2,7,7,4,2,1,10,3,99,2,99,1,7,7,/home/sports/hdd2/huangfy/charting/20240218-M-Buenos_Aires-F-Facundo_Diaz_Acosta-Nicolas_Jarry.html, smash crosscourt,  winner
