"Juncheng Shang","Mackenzie Mcdonald",LH,RH,0,0,0,0,0,0,2024-01-16,Australian_Open,1,1,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240116-M-Australian_Open-R128-Juncheng_Shang-Mackenzie_Mcdonald.html
"Mackenzie Mcdonald","Juncheng Shang",RH,LH,0,0,0,0,0,0,2024-01-16,Australian_Open,3,2,22,2,2,1,2,99,2,7,7,1,1,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240116-M-Australian_Open-R128-Juncheng_Shang-Mackenzie_Mcdonald.html
"Juncheng Shang","Mackenzie Mcdonald",LH,RH,0,0,0,0,0,0,2024-01-16,Australian_Open,4,2,1,7,3,99,2,99,2,5,7,3,2,22,2,2,1,2,99,2,7,7,1,1,99,6,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240116-M-Australian_Open-R128-Juncheng_Shang-Mackenzie_Mcdonald.html
"Juncheng Shang","Mackenzie Mcdonald",LH,RH,1,0,0,0,0,0,2024-01-16,Australian_Open,1,3,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240116-M-Australian_Open-R128-Juncheng_Shang-Mackenzie_Mcdonald.html
"Mackenzie Mcdonald","Juncheng Shang",RH,LH,0,1,0,0,0,0,2024-01-16,Australian_Open,3,2,1,2,2,1,2,99,2,7,7,1,3,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240116-M-Australian_Open-R128-Juncheng_Shang-Mackenzie_Mcdonald.html
"Juncheng Shang","Mackenzie Mcdonald",LH,RH,1,0,0,0,0,0,2024-01-16,Australian_Open,4,2,1,7,3,99,2,99,1,7,7,3,2,1,2,2,1,2,99,2,7,7,1,3,99,6,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240116-M-Australian_Open-R128-Juncheng_Shang-Mackenzie_Mcdonald.html
"Mackenzie Mcdonald","Juncheng Shang",RH,LH,0,1,0,0,0,0,2024-01-16,Australian_Open,4,3,32,7,3,99,2,99,2,5,7,4,2,1,7,3,99,2,99,1,7,7,3,2,1,2,2,1,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240116-M-Australian_Open-R128-Juncheng_Shang-Mackenzie_Mcdonald.html
"Juncheng Shang","Mackenzie Mcdonald",LH,RH,1,1,0,0,0,0,2024-01-16,Australian_Open,1,1,99,6,2,99,2,99,2,1,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240116-M-Australian_Open-R128-Juncheng_Shang-Mackenzie_Mcdonald.html
"Juncheng Shang","Mackenzie Mcdonald",LH,RH,2,1,0,0,0,0,2024-01-16,Australian_Open,1,3,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240116-M-Australian_Open-R128-Juncheng_Shang-Mackenzie_Mcdonald.html
"Mackenzie Mcdonald","Juncheng Shang",RH,LH,1,2,0,0,0,0,2024-01-16,Australian_Open,3,2,1,10,3,1,2,99,2,7,7,1,3,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240116-M-Australian_Open-R128-Juncheng_Shang-Mackenzie_Mcdonald.html
