"Diana Shnaider","Xin Yu Wang",LH,RH,0,0,0,0,0,0,2024-02-03,Hua_Hin,1,1,99,5,1,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240203-W-Hua_Hin-SF-Diana_Shnaider-Xin_Yu_Wang.html,1st serve to body,  fault (long)
"Diana Shnaider","Xin Yu Wang",LH,RH,0,0,0,0,0,0,2024-02-03,Hua_Hin,2,1,99,6,2,99,2,99,2,2,3,1,1,99,5,1,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240203-W-Hua_Hin-SF-Diana_Shnaider-Xin_Yu_Wang.html, 2nd serve down the T,  fault (long),  double fault
"Diana Shnaider","Xin Yu Wang",LH,RH,0,1,0,0,0,0,2024-02-03,Hua_Hin,1,3,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240203-W-Hua_Hin-SF-Diana_Shnaider-Xin_Yu_Wang.html,1st serve down the T
"Xin Yu Wang","Diana Shnaider",RH,LH,1,0,0,0,0,0,2024-02-03,Hua_Hin,3,2,1,2,2,2,2,99,2,7,7,1,3,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240203-W-Hua_Hin-SF-Diana_Shnaider-Xin_Yu_Wang.html, forehand return down the middle (deep)
"Diana Shnaider","Xin Yu Wang",LH,RH,0,1,0,0,0,0,2024-02-03,Hua_Hin,4,2,22,2,2,99,2,99,2,7,7,3,2,1,2,2,2,2,99,2,7,7,1,3,99,6,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240203-W-Hua_Hin-SF-Diana_Shnaider-Xin_Yu_Wang.html, backhand down the middle
"Xin Yu Wang","Diana Shnaider",RH,LH,1,0,0,0,0,0,2024-02-03,Hua_Hin,4,2,1,2,2,99,2,99,2,7,7,4,2,22,2,2,99,2,99,2,7,7,3,2,1,2,2,2,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240203-W-Hua_Hin-SF-Diana_Shnaider-Xin_Yu_Wang.html, forehand down the middle
"Diana Shnaider","Xin Yu Wang",LH,RH,0,1,0,0,0,0,2024-02-03,Hua_Hin,4,2,22,10,3,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,4,2,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240203-W-Hua_Hin-SF-Diana_Shnaider-Xin_Yu_Wang.html, backhand inside-out
"Xin Yu Wang","Diana Shnaider",RH,LH,1,0,0,0,0,0,2024-02-03,Hua_Hin,4,3,22,2,2,99,2,99,2,7,7,4,2,22,10,3,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240203-W-Hua_Hin-SF-Diana_Shnaider-Xin_Yu_Wang.html, backhand down the middle
"Diana Shnaider","Xin Yu Wang",LH,RH,0,1,0,0,0,0,2024-02-03,Hua_Hin,4,2,1,10,1,99,2,99,2,4,2,4,3,22,2,2,99,2,99,2,7,7,4,2,22,10,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240203-W-Hua_Hin-SF-Diana_Shnaider-Xin_Yu_Wang.html, forehand inside-out (wide),  unforced error
"Diana Shnaider","Xin Yu Wang",LH,RH,0,2,0,0,0,0,2024-02-03,Hua_Hin,1,1,99,4,1,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240203-W-Hua_Hin-SF-Diana_Shnaider-Xin_Yu_Wang.html,1st serve wide,  fault (net)
"Diana Shnaider","Xin Yu Wang",LH,RH,0,2,0,0,0,0,2024-02-03,Hua_Hin,2,1,99,5,1,99,2,99,2,7,7,1,1,99,4,1,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240203-W-Hua_Hin-SF-Diana_Shnaider-Xin_Yu_Wang.html, 2nd serve to body
"Xin Yu Wang","Diana Shnaider",RH,LH,2,0,0,0,0,0,2024-02-03,Hua_Hin,3,1,1,2,2,2,2,99,2,7,7,2,1,99,5,1,99,2,99,2,7,7,1,1,99,4,1,99,2,99,2,2,1,/home/sports/hdd2/huangfy/charting/20240203-W-Hua_Hin-SF-Diana_Shnaider-Xin_Yu_Wang.html, forehand return down the middle (deep)
