"Alejandro Tabilo","Ignacio Buse",LH,RH,0,0,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,1,1,99,4,1,99,2,99,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html,1st serve wide,  fault (wide)
"Alejandro Tabilo","Ignacio Buse",LH,RH,0,0,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,2,1,99,6,2,99,2,99,2,7,7,1,1,99,4,1,99,2,99,2,2,2,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, 2nd serve down the T
"Ignacio Buse","Alejandro Tabilo",RH,LH,0,0,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,3,2,22,7,3,3,2,99,2,7,7,2,1,99,6,2,99,2,99,2,7,7,1,1,99,4,1,99,2,99,2,2,2,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, backhand return crosscourt (very deep)
"Alejandro Tabilo","Ignacio Buse",LH,RH,0,0,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,4,3,3,2,2,99,2,99,2,3,99,3,2,22,7,3,3,2,99,2,7,7,2,1,99,6,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, forehand chip/slice down the middle,  forced error
"Alejandro Tabilo","Ignacio Buse",LH,RH,0,1,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,1,3,99,4,3,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html,1st serve wide,  fault (net)
"Alejandro Tabilo","Ignacio Buse",LH,RH,0,1,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,2,3,99,4,3,99,2,99,2,2,1,1,3,99,4,3,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, 2nd serve wide,  fault (net),  double fault
"Alejandro Tabilo","Ignacio Buse",LH,RH,0,2,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,1,1,99,6,2,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html,1st serve down the T,  fault (long)
"Alejandro Tabilo","Ignacio Buse",LH,RH,0,2,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,2,1,99,5,1,99,2,99,2,7,7,1,1,99,6,2,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, 2nd serve to body
"Ignacio Buse","Alejandro Tabilo",RH,LH,2,0,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,3,1,1,2,2,2,2,99,2,7,7,2,1,99,5,1,99,2,99,2,7,7,1,1,99,6,2,99,2,99,2,2,3,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, forehand return down the middle (deep)
"Alejandro Tabilo","Ignacio Buse",LH,RH,0,2,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,4,2,1,7,3,99,2,99,2,7,7,3,1,1,2,2,2,2,99,2,7,7,2,1,99,5,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, forehand crosscourt
"Ignacio Buse","Alejandro Tabilo",RH,LH,2,0,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,4,3,22,2,2,99,2,99,2,7,7,4,2,1,7,3,99,2,99,2,7,7,3,1,1,2,2,2,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, backhand down the middle
"Alejandro Tabilo","Ignacio Buse",LH,RH,0,2,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,4,2,1,7,3,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,4,2,1,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, forehand crosscourt
"Ignacio Buse","Alejandro Tabilo",RH,LH,2,0,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,4,3,22,7,3,99,2,99,2,7,7,4,2,1,7,3,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, backhand crosscourt
"Alejandro Tabilo","Ignacio Buse",LH,RH,0,2,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,4,3,3,2,2,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,4,2,1,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, forehand chip/slice down the middle
"Ignacio Buse","Alejandro Tabilo",RH,LH,2,0,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,4,2,1,7,1,99,2,99,1,7,7,4,3,3,2,2,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, forehand approach shot crosscourt
"Alejandro Tabilo","Ignacio Buse",LH,RH,0,2,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,4,1,22,8,3,99,2,99,2,7,7,4,2,1,7,1,99,2,99,1,7,7,4,3,3,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, backhand down the line
"Ignacio Buse","Alejandro Tabilo",RH,LH,2,0,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,4,3,26,8,1,99,2,99,2,3,99,4,1,22,8,3,99,2,99,2,7,7,4,2,1,7,1,99,2,99,1,7,7,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, backhand volley down the line,  forced error
"Alejandro Tabilo","Ignacio Buse",LH,RH,1,2,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,1,3,99,4,3,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html,1st serve wide,  fault (net)
"Alejandro Tabilo","Ignacio Buse",LH,RH,1,2,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,2,3,99,4,3,99,2,99,2,7,7,1,3,99,4,3,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, 2nd serve wide
"Ignacio Buse","Alejandro Tabilo",RH,LH,2,1,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,3,3,22,7,3,1,2,99,2,7,7,2,3,99,4,3,99,2,99,2,7,7,1,3,99,4,3,99,2,99,2,2,1,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, backhand return crosscourt (shallow)
"Alejandro Tabilo","Ignacio Buse",LH,RH,1,2,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,4,3,1,2,2,99,2,99,2,7,7,3,3,22,7,3,1,2,99,2,7,7,2,3,99,4,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, forehand down the middle
"Ignacio Buse","Alejandro Tabilo",RH,LH,2,1,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,4,2,1,2,2,99,2,99,2,7,7,4,3,1,2,2,99,2,99,2,7,7,3,3,22,7,3,1,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, forehand down the middle
"Alejandro Tabilo","Ignacio Buse",LH,RH,1,2,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,4,2,1,10,1,99,2,99,2,4,3,4,2,1,2,2,99,2,99,2,7,7,4,3,1,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, forehand inside-out (long),  unforced error
"Alejandro Tabilo","Ignacio Buse",LH,RH,1,3,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,1,1,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html,1st serve down the T
"Ignacio Buse","Alejandro Tabilo",RH,LH,3,1,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,3,2,22,2,2,3,2,99,2,7,7,1,1,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, backhand return down the middle (very deep)
"Alejandro Tabilo","Ignacio Buse",LH,RH,1,3,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,4,2,1,2,2,99,2,99,2,7,7,3,2,22,2,2,3,2,99,2,7,7,1,1,99,6,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, forehand down the middle
"Ignacio Buse","Alejandro Tabilo",RH,LH,3,1,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,4,2,22,7,3,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,3,2,22,2,2,3,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, backhand crosscourt
"Alejandro Tabilo","Ignacio Buse",LH,RH,1,3,0,0,0,0,2024-02-04,Davis_Cup_Qualifiers,4,3,1,2,2,99,2,99,2,4,1,4,2,22,7,3,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, forehand down the middle (net),  unforced error
"Ignacio Buse","Alejandro Tabilo",RH,LH,0,0,0,1,0,0,2024-02-04,Davis_Cup_Qualifiers,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html,1st serve wide
"Alejandro Tabilo","Ignacio Buse",LH,RH,0,0,1,0,0,0,2024-02-04,Davis_Cup_Qualifiers,3,1,22,2,2,99,2,99,2,3,99,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, backhand return down the middle,  forced error
"Ignacio Buse","Alejandro Tabilo",RH,LH,0,1,0,1,0,0,2024-02-04,Davis_Cup_Qualifiers,1,3,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html,1st serve down the T
"Alejandro Tabilo","Ignacio Buse",LH,RH,1,0,1,0,0,0,2024-02-04,Davis_Cup_Qualifiers,3,2,22,10,3,3,2,99,2,7,7,1,3,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, backhand return inside-out (very deep)
"Ignacio Buse","Alejandro Tabilo",RH,LH,0,1,0,1,0,0,2024-02-04,Davis_Cup_Qualifiers,4,3,22,2,2,99,2,99,2,7,7,3,2,22,10,3,3,2,99,2,7,7,1,3,99,6,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, backhand down the middle
"Alejandro Tabilo","Ignacio Buse",LH,RH,1,0,1,0,0,0,2024-02-04,Davis_Cup_Qualifiers,4,2,1,7,3,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,3,2,22,10,3,3,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, forehand crosscourt
"Ignacio Buse","Alejandro Tabilo",RH,LH,0,1,0,1,0,0,2024-02-04,Davis_Cup_Qualifiers,4,3,22,2,2,99,2,99,2,7,7,4,2,1,7,3,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240204-M-Davis_Cup_Qualifiers-RR-Alejandro_Tabilo-Ignacio_Buse.html, backhand down the middle
